pcode,pname,l_pname,dcode,dname,l_dname,vcode,vname,l_vname
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102027,Nongda,ໜອງດາ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102028,Mai,ໄໝ່
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102029,Houyhom,ຫ້ວຍຫ້ອມ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102030,Ang-Gnai,ອ່າງໃຫ່ຍ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102031,Phosi,ໂພສີ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102032,Nahe,ນາແຮ່
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102033,Viangsavan,ວຽງສະຫັວນ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102034,Thongpong,ທົ່ງປົ່ງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102035,Nalao,ນາເລົາ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102036,Nongniao,ໜອງໝ້ຽວ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102037,Nongteng-Tai,ໜອງແຕ່ງໃຕ້
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102038,Nongteng-Nua,ໜອງແຕ່ງເໜືອ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102039,Viangkham,ວຽງຄຳ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102040,Champa,ຈຳປາ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102041,Dongnaxok-Tai,ດົງນາໂຊກໄຕ້
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102042,Dongnaxok-Nua,ດົງນາໂຊກເໜືອ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102043,Pakthang,ປາກທ້າງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102044,Dongnathong,ດົງນາທອງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102045,Lakhin,ຫຼັກຫີນ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102046,Nongbuk-Tai,ໜອງບຶກໃຕ້
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102047,Nongbuk-Nua,ໜອງບຶກເໜືອ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102048,Dongkalao,ດົງກະເລົາ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102049,Xamket,ຊຳເກດ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102050,Khounta-Thong,ຂຸນຕາທົ່ງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102051,Khounta-Tha,ຂຸນຕາທ່າ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102052,Sithan-Nua,ສີຖານເໜືອ
